venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
New Bar,38 Zirkusgasse,Wien,,1020,+4369915231349,http://facebook.com/newbarwien/,,48.2169034,16.3853171,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00019,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Mickey Finn's Irish Pub,67 Ungargasse,Wien,,1030,+43 680 3340027,https://www.mickeyfinns.at/,,48.1967165,16.3871844,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00020,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
O'Malleys Irish Pub,16 Rudolfskai,Salzburg,,5020,+43 662 849263,https://omalleyssalzburg.com/,,47.800105,13.0460539,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00021,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Cafe Public,,,,,,,,48.1902035,16.4013016,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00022,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Terminal Gastro Bar,167 Ottakringer Straße,Wien,,1160,+43 1 2764109,,,48.2134027,16.3132769,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00023,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Vienna Schick Bar,,,,,,,,48.1969042,16.3641963,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00024,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Salzbar,8 Salzgasse,Wien,,1010,,https://www.salzbar.at/kontakt/ressum/,,48.2119851,16.3738827,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00025,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
The Sly & Arny Restaurant Bar,5 Lackierergasse,Wien,,1090,+43 1 4050458,https://www.foodbar.at/,,48.2185663,16.3569847,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00026,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Timeless Restaurant & Coffee Bar,3 Reinprechtsdorfer Straße,Wien,,1050,,,,48.1830074,16.3565171,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00027,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Isaac's Pub,13 Schubertgasse,Wien,,1090,,https://www.isaacs.at/,,48.2273133,16.3532436,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00028,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Gerard-Tanzbar,,,,,,,,48.2109596,16.3485611,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00029,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Cafe Sporthalle Alpenstraße,,,,,,,,47.77645,13.0674311,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00030,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Center for Bar Culture,,,,,,,,47.8260657,13.0565199,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00031,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Camino Essbar,10 Judengasse,Salzburg,,5020,,,,47.7996,13.0464749,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00032,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Nachbar,54 Linzer Gasse,,,,,,,47.8038916,13.047701,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00033,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Shrimps Bar & Restaurant,5 Steingasse,,,5020,+43 662 874484,http://shrimps.at/,,47.8014975,13.0455718,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00034,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Roo Bar,8 Hegelgasse,Wien,,1010,+43 664 2452002,https://www.roobar.at/,,48.2040067,16.3756645,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00035,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Yaren Türkü Bar,,,,,,,,48.17248,16.3541413,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00036,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Vilveta Bar,,,,,,,,48.2038184,16.3715246,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00037,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Cafe Bar Old Splendor,21 Beatrixgasse,Wien,,1030,+43 699 17136323,https://www.cafe-oldsplendor.at/,,48.2020985,16.3831443,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00038,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
New York Bar,8 Annagasse,Wien,,1010,,http://www.newyork-bar.at/,,48.2043363,16.3717832,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00039,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Pisco Latinbar,8 Seilerstätte,Wien,,1010,,,,48.2059003,16.3759374,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00040,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Harry's Bar,7 Liebenberggasse,Wien,,1010,,,,48.2057725,16.3785712,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00041,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Hillinger Wineshop & Bar,25 Wollzeile,Wien,,1010,+43 1 966 21 21,https://www.leo-hillinger.com/wineshops/,,48.2082188,16.3771324,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00042,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Metro Kinobar,4 Johannesgasse,Wien,,1010,,,,48.204921,16.3719323,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00043,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Imperial Bar,16 Kärntner Ring,Wien,,1010,+43 1 501 106339,,,48.2013063,16.3729296,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00044,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
bestens. die bar,23 Burggasse,Wien,,1070,+43 676 5487137,https://bestens.bar/,,48.2040045,16.3544038,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00045,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Inseltreff Barbados,,,,,+4367764469061,https://www.inseltreff.at/,,48.2117448,16.4389444,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00046,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
trend-caffè Bar,,,,,,,,48.1993788,16.3317304,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00047,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Spiel Bar,26 Lederergasse,Wien,,1080,,https://spiel-bar.at/,,48.2136882,16.3484757,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00048,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Tao Mini Bar,80-82 Währinger Straße,Wien,,1180,+43 1 346 37 44,https://www.tao-mini-bar.at/,,48.2252743,16.3488881,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00049,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Cocktailbar,,,,,,,,48.2536376,16.3540775,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00050,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
A Barraca,7 Hohenstaufengasse,Wien,,1010,+43 660 3465737,http://www.abarraca.at,,48.2136415,16.3659573,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00051,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
O’Connor’s Old Oak Irish Pub,95 Rennweg,Wien,,1030,+43 1 236 6721,https://theoak1030.at/,,48.1888924,16.4000846,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00052,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bastille-Pub,20 Bastiengasse,Wien,,1180,+43 1 9448135,http://www.bastille-pub.at/,,48.2342786,16.3232806,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00053,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
China Bar,76 Burggasse,Wien,,1070,+43 1 5220831,https://chinabar.at/,,48.2043884,16.3466312,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00054,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Olinda Bar,23 Schönbrunner Straße,Wien,,1050,,https://olindabar.com/,,48.193869,16.3593215,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00055,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Manuela's Pub,56 Margaretenstraße,Wien,,1050,,,,48.193973,16.3616053,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00056,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Café Bar Rakete,,,,,,,,48.2293755,16.3722173,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00057,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Grande Cocktailbar,56 Josefstädter Straße,Wien,,1080,+43 676 3619760,http://grandebar.at/,,48.2103581,16.3456396,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00058,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Pizza Pub,44/Top7 Anton-Baumgartner-Straße,Wien,,1230,+43 660 3149644,https://www.pizzapub.at/,,48.1513232,16.315365,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00059,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Papi´s Bar,7 Kirchberggasse,Wien,,1070,+43 660 6660039,,,48.2028978,16.356047,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00060,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Cafe & Bar Diesels,72 Rennweg,Wien,,1030,+43 680 238 13 95,https://diesels.at,,48.191622,16.3951162,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00061,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Café & Pub Rennweg,86 Rennweg,Wien,,1030,+43 660 3904050,https://www.facebook.com/cafepubrennweg/,,48.1906345,16.3968403,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00062,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Wunderbar,8 Schönlaterngasse,Wien,,1010,+43 1 5127989,http://www.facebook.com/WunderBarWien,,48.2094749,16.3775515,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00063,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Schneider-Gössl Sektbar,153 Hietzinger Hauptstraße,Wien,,1130,,http://sektbar.hietzing.at/,,48.1880272,16.2669517,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00064,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Gasobar,8 Guglgasse,Wien,,1110,,,,48.1851763,16.4193773,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00065,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bar Pani,41 Roßauer Lände,Wien,,1090,+43 1 9920066,https://www.barpani.com/,,48.2258841,16.3658549,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00066,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Single Oak Café und Bar,7 Krotachgasse,Salzburg,,5020,,https://www.singleoakbar.com/,,47.7974195,13.0496253,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00067,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
YAMATO kitchen & bar,,,,,,,,48.1903704,16.3659746,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00068,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Green Mile Bar,,,,,,,,48.2389638,16.3759071,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00069,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Senator Bar,105 Hernalser Hauptstraße,Wien,,1170,,https://www.rainer-hotels.at/senator,,48.2196182,16.3254723,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00070,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Eberts Cocktailbar,51 Gumpendorfer Straße,Wien,,1060,+43 1 5865465,http://www.eberts.at/,,48.1979277,16.3555548,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00071,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Top Kino Bar,1 Rahlgasse,Wien,,1060,+43 1 2083000,https://www.topkino.at/,,48.2013139,16.3617143,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00072,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Salzach-​Insel-​Bar,,,,,,,,47.8016034,13.0416023,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00073,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
JO's Restaurant & Bar,39 Prager Straße,Wien,,1210,,https://josrestaurantundbar.at/,,48.2641861,16.3937934,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00074,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Wok Bar,20 Peter-Kaiser-Gasse,Wien,,1210,,https://www.wokbar.at/,,48.2658434,16.3895431,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00075,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Blue Bar,17 Sonnenfelsgasse,Wien,,1010,,,,48.2092086,16.3769784,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00076,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Havana Cocktail Bar,,,,,,,,47.8031315,13.0452776,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00077,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Nightfly's American Bar,14 Dorotheergasse,Wien,,1010,,https://www.nightflys.at/,,48.2071587,16.3690865,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00078,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Dino's Apothecary Bar,19 Salzgries,Wien,,1010,,,,48.2132963,16.3708365,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00079,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
SoHo Bar,4 Sigmund-Haffner-Gasse,Salzburg,,5020,+43 662 844020,,,47.7997474,13.0444848,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00080,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Pub Klemo,61 Margaretenstraße,Wien,,1050,+43 699 11091332,https://www.pubklemo.at/,,48.1927013,16.360884,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00081,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
The Twinspub,299 Hütteldorfer Straße,Wien,,1140,,,,48.1975989,16.2792505,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00082,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Segabar Rudolfskai,18 Rudolfskai,Salzburg,,5020,,https://www.segabar.at/,,47.800041,13.046203,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00083,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bar Chalet,42 Linzer Bundesstraße,,,5023,,,,47.8146342,13.0690243,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00084,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Onyx Bar,12 Stephansplatz,Wien,,1010,,,,48.2083413,16.3717776,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00085,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Nostalgija Kafana & Rakija Bar,100 Sechshauser Straße,Wien,,1150,,,,48.1865065,16.3250701,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00086,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Cafe-Bar Blue Box,8 Richtergasse,Wien,,1070,,https://www.facebook.com/Goldies.BlueBox/,,48.1993604,16.3482483,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00087,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Atlas Bar and Gallery,51 Neustiftgasse,,,,+43 1 5237161,https://www.atlasatlas.at/,,48.2052659,16.3502604,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00088,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bar Stœrt,28 Skodagasse,Wien,,1080,,https://www.barstoert.com/,,48.2144288,16.3479299,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00089,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Nachbarschaft,5 Sachsenheimstraße,Elixhausen,,5161,,,,47.8626405,13.062537,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00090,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Raven's Pub,9 Rabengasse,Wien,,1030,+43 1 7122326,,,48.1959618,16.4006344,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00091,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bar Black Lounge,25–27 Baumgasse,Wien,,1030,+43 1 9203944,,,48.1958724,16.3981282,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00092,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Mi Barrio,2 Münzwardeingasse,Wien,,1060,+43 1 5876125,https://www.mibarrio.at,,48.1943627,16.3522044,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00093,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Das Alt - Irish Pub Hietzing,18 Altgasse,Wien,,1130,+43 676 5403950,https://www.irishpub-hietzing.at/,,48.1855229,16.2988667,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00094,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
